Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,29965000.0
Otras inversiones a corto plazo,31590000.0
Caja total,61555000.0
Cuentas pendientes netas,29508000.0
Inventario,6331000.0
Otros activos circulantes,14695000.0
Activos corrientes totales,143566000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",114599000.0
Depreciación acumulada,70884000.0
"Propiedad neta, planta y equipo",43715000.0
Acciones y otras inversiones,100544000.0
Otros activos a largo plazo,46906000.0
Total de activos no corrientes,209017000.0
Activos totales,352583000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,15807000.0
Cuentas a pagar,62611000.0
Ingresos diferidos,8061000.0
Otros pasivos circulantes,58829000.0
Pasivos circulantes totales,145308000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,95281000.0
Otras obligaciones a largo plazo,34391000.0
Total de obligaciones no corrientes,145129000.0
Pasivos totales,290437000.0
Patrimonio neto,0.0
Acción ordinaria,73812000.0
Ganancias retenidas,214000.0
Otro ingreso integral acumulado,11452000.0
Total de patrimonio neto de los accionistas,62146000.0
Total de obligaciones y capital de los accionistas,352583000.0
