Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,96995000.0
Depreciación y amortización ,11519000.0
Impuestos sobre la renta diferidos,0.0
Compensación con base en acciones,10833000.0
Cambio en el capital circulante,6577000.0
Cuentas por cobrar,1688000.0
Inventario,1618000.0
Cuentas a pagar,1889000.0
Otro capital circulante,99584000.0
Otros artículos no monetarios,2227000.0
Efectivo neto proporcionado por actividades en curso,110543000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",10959000.0
Adquisiciones netas,0.0
Compras de inversiones,29513000.0
Ventas/vencimientos de inversiones,45514000.0
Otras actividades de inversión,1337000.0
Efectivo neto usado para actividades de inversión,3705000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,11151000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,77550000.0
Dividendos pagados,15025000.0
Otras actividades de financiación,6012000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,108488000.0
Cambio neto en efectivo,5760000.0
Efectivo al inicio del periodo,24977000.0
Efectivo al final del periodo,30737000.0
Flujo de caja libre,0.0
Flujo de caja operativo,110543000.0
Inversiones en bienes de capital,10959000.0
Flujo de caja libre,99584000.0
