Descripcion,Valor
Ingresos totales,383285000.0
Costo de ganancias,214137000.0
Ganancia bruta,169148000.0
Gastos operativos,0.0
Investigación y desarrollo,29915000.0
Ventas: generales y administrativas,24932000.0
Gastos operativos totales,54847000.0
Ingresos o pérdidas operativos,114301000.0
Gastos de interés,3933000.0
Valor neto total de otros gastos/ingresos,382000.0
Ingreso antes de impuestos,113736000.0
Impuesto a las ganancias,16741000.0
Ingreso de operaciones continuas,96995000.0
Ingresos netos,96995000.0
Ingreso neto disponible para accionistas comunes,96995000.0
EPS básicas,6.16
BPA diluido,6.13
Promedio de acciones básicas,15744231.0
Promedio de acciones diluidas,15812547.0
