Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,4557000.0
Depreciación y amortización ,8696000.0
Impuestos sobre la renta diferidos,80000.0
Compensación con base en acciones,692000.0
Cambio en el capital circulante,447000.0
Cuentas por cobrar,44000.0
Cuentas a pagar,169000.0
Otro capital circulante,3490000.0
Otros artículos no monetarios,311000.0
Efectivo neto proporcionado por actividades en curso,14433000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",10943000.0
Otras actividades de inversión,184000.0
Efectivo neto usado para actividades de inversión,11127000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,21938000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,3215000.0
Otras actividades de financiación,173000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3242000.0
Cambio neto en efectivo,64000.0
Efectivo al inicio del periodo,645000.0
Efectivo al final del periodo,709000.0
Flujo de caja libre,0.0
Flujo de caja operativo,14433000.0
Inversiones en bienes de capital,10943000.0
Flujo de caja libre,3490000.0
