Descripcion,Valor
Ingresos totales,54607000.0
Costo de ganancias,29752000.0
Ganancia bruta,24855000.0
Gastos operativos,0.0
Ventas: generales y administrativas,3653000.0
Gastos operativos totales,12349000.0
Ingresos o pérdidas operativos,12506000.0
Gastos de interés,5188000.0
Valor neto total de otros gastos/ingresos,464000.0
Ingreso antes de impuestos,6854000.0
Impuesto a las ganancias,1593000.0
Ingreso de operaciones continuas,5261000.0
Ingresos netos,4557000.0
Ingreso neto disponible para accionistas comunes,4557000.0
EPS básicas,30.54
BPA diluido,29.99
Promedio de acciones básicas,149208.0
Promedio de acciones diluidas,151966.0
