Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,6215000.0
Caja total,6215000.0
Cuentas pendientes netas,13813000.0
Otros activos circulantes,3959000.0
Activos corrientes totales,23987000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",118386000.0
Depreciación acumulada,58700000.0
"Propiedad neta, planta y equipo",59686000.0
Acciones y otras inversiones,9385000.0
Valor llave,59300000.0
Activos intangibles,100085000.0
Otros activos a largo plazo,12333000.0
Total de activos no corrientes,240789000.0
Activos totales,264811000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,2069000.0
Cuentas a pagar,12437000.0
Obligaciones devengadas,13284000.0
Ingresos diferidos,3242000.0
Otros pasivos circulantes,1000.0
Pasivos circulantes totales,40198000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,95021000.0
Obligaciones de impuestos diferidas,26003000.0
Otras obligaciones a largo plazo,20122000.0
Total de obligaciones no corrientes,141146000.0
Pasivos totales,181344000.0
Patrimonio neto,0.0
Acción ordinaria,48000.0
Ganancias retenidas,52892000.0
Otro ingreso integral acumulado,1253000.0
Total de patrimonio neto de los accionistas,82703000.0
Total de obligaciones y capital de los accionistas,264811000.0
