Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,15388000.0
Depreciación y amortización ,14336000.0
Impuestos sobre la renta diferidos,2739000.0
Compensación con base en acciones,1241000.0
Cambio en el capital circulante,1008000.0
Otro capital circulante,12961000.0
Otros artículos no monetarios,316000.0
Efectivo neto proporcionado por actividades en curso,28501000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",15540000.0
Adquisiciones netas,137000.0
Compras de inversiones,1313000.0
Ventas/vencimientos de inversiones,8610000.0
Otras actividades de inversión,558000.0
Efectivo neto usado para actividades de inversión,7161000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,9190000.0
Acción ordinaria readquirida,11291000.0
Dividendos pagados,4766000.0
Otras actividades de financiación,5000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,19850000.0
Cambio neto en efectivo,1500000.0
Efectivo al inicio del periodo,4782000.0
Efectivo al final del periodo,6282000.0
Flujo de caja libre,0.0
Flujo de caja operativo,28501000.0
Inversiones en bienes de capital,15540000.0
Flujo de caja libre,12961000.0
