Descripcion,Valor
Ingresos totales,121572000.0
Costo de ganancias,36762000.0
Ganancia bruta,84810000.0
Gastos operativos,0.0
Ventas: generales y administrativas,47161000.0
Gastos operativos totales,61497000.0
Ingresos o pérdidas operativos,23313000.0
Gastos de interés,4087000.0
Valor neto total de otros gastos/ingresos,1251000.0
Ingreso antes de impuestos,20478000.0
Impuesto a las ganancias,5371000.0
Ingreso de operaciones continuas,15107000.0
Ingresos netos,15388000.0
Ingreso neto disponible para accionistas comunes,15388000.0
EPS básicas,3.87
BPA diluido,3.71
Promedio de acciones básicas,3978762.0
Promedio de acciones diluidas,4148000.0
