Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,14182000.0
Caja total,14182000.0
Cuentas pendientes netas,10179000.0
Inventario,1963000.0
Otros activos circulantes,1286000.0
Activos corrientes totales,32763000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",77551000.0
Depreciación acumulada,42610000.0
"Propiedad neta, planta y equipo",34941000.0
Acciones y otras inversiones,3080000.0
Valor llave,77067000.0
Activos intangibles,13061000.0
Otros activos a largo plazo,11076000.0
Total de activos no corrientes,172816000.0
Activos totales,205579000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,4330000.0
Cuentas a pagar,15125000.0
Impuestos que se deben pagar,2276000.0
Obligaciones devengadas,3270000.0
Ingresos diferidos,6138000.0
Otros pasivos circulantes,6138000.0
Pasivos circulantes totales,31139000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,42101000.0
Obligaciones de impuestos diferidas,7258000.0
Otras obligaciones a largo plazo,8605000.0
Total de obligaciones no corrientes,61428000.0
Pasivos totales,92567000.0
Patrimonio neto,0.0
Acción ordinaria,57383000.0
Ganancias retenidas,46093000.0
Otro ingreso integral acumulado,3292000.0
Total de patrimonio neto de los accionistas,99277000.0
Total de obligaciones y capital de los accionistas,205579000.0
