Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,2354000.0
Depreciación y amortización ,5369000.0
Impuestos sobre la renta diferidos,1346000.0
Compensación con base en acciones,1143000.0
Cambio en el capital circulante,177000.0
Inventario,183000.0
Cuentas a pagar,1142000.0
Otro capital circulante,4897000.0
Otros artículos no monetarios,1630000.0
Efectivo neto proporcionado por actividades en curso,9866000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",4969000.0
Adquisiciones netas,0.0
Ventas/vencimientos de inversiones,458000.0
Otras actividades de inversión,130000.0
Efectivo neto usado para actividades de inversión,4641000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1675000.0
Acción ordinaria readquirida,0.0
Dividendos pagados,0.0
Otras actividades de financiación,993000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,2724000.0
Cambio neto en efectivo,2574000.0
Efectivo al inicio del periodo,11661000.0
Efectivo al final del periodo,14235000.0
Flujo de caja libre,0.0
Flujo de caja operativo,9866000.0
Inversiones en bienes de capital,4969000.0
Flujo de caja libre,4897000.0
