Descripcion,Valor
Ingresos totales,88898000.0
Costo de ganancias,59201000.0
Ganancia bruta,29697000.0
Gastos operativos,0.0
Ventas: generales y administrativas,15336000.0
Gastos operativos totales,20705000.0
Ingresos o pérdidas operativos,8992000.0
Gastos de interés,1973000.0
Valor neto total de otros gastos/ingresos,3014000.0
Ingreso antes de impuestos,4769000.0
Impuesto a las ganancias,1379000.0
Ingreso de operaciones continuas,3390000.0
Ingresos netos,2354000.0
Ingreso neto disponible para accionistas comunes,2354000.0
EPS básicas,1.29
BPA diluido,1.29
Promedio de acciones básicas,1828000.0
Promedio de acciones diluidas,1830000.0
