Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,4272000.0
Caja total,4272000.0
Cuentas pendientes netas,2177000.0
Inventario,543000.0
Otros activos circulantes,265000.0
Activos corrientes totales,7257000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",4621000.0
Depreciación acumulada,1966000.0
"Propiedad neta, planta y equipo",2655000.0
Acciones y otras inversiones,1034000.0
Valor llave,3559000.0
Activos intangibles,3084000.0
Otros activos a largo plazo,1187000.0
Total de activos no corrientes,14609000.0
Activos totales,21866000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1249000.0
Impuestos que se deben pagar,0.0
Obligaciones devengadas,1028000.0
Ingresos diferidos,160000.0
Otros pasivos circulantes,469000.0
Pasivos circulantes totales,3763000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,5961000.0
Obligaciones de impuestos diferidas,0.0
Otras obligaciones a largo plazo,198000.0
Total de obligaciones no corrientes,7445000.0
Pasivos totales,11208000.0
Patrimonio neto,0.0
Acción ordinaria,5000.0
Ganancias retenidas,2269000.0
Otro ingreso integral acumulado,149000.0
Total de patrimonio neto de los accionistas,10378000.0
Total de obligaciones y capital de los accionistas,21866000.0
