Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1239000.0
Depreciación y amortización ,411000.0
Impuestos sobre la renta diferidos,321000.0
Compensación con base en acciones,74000.0
Cambio en el capital circulante,270000.0
Cuentas por cobrar,0.0
Inventario,145000.0
Cuentas a pagar,0.0
Otro capital circulante,1443000.0
Otros artículos no monetarios,116000.0
Efectivo neto proporcionado por actividades en curso,1800000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",357000.0
Adquisiciones netas,0.0
Compras de inversiones,54000.0
Ventas/vencimientos de inversiones,0.0
Otras actividades de inversión,27000.0
Efectivo neto usado para actividades de inversión,438000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria readquirida,2000000.0
Dividendos pagados,299000.0
Otras actividades de financiación,9000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,2290000.0
Cambio neto en efectivo,928000.0
Efectivo al inicio del periodo,5200000.0
Efectivo al final del periodo,4272000.0
Flujo de caja libre,0.0
Flujo de caja operativo,1800000.0
Inversiones en bienes de capital,357000.0
Flujo de caja libre,1443000.0
