Descripcion,Valor
Ingresos totales,14913000.0
Gastos operativos,0.0
Ventas: generales y administrativas,2049000.0
Gastos operativos totales,12149000.0
Ingresos o pérdidas operativos,2764000.0
Gastos de interés,349000.0
Valor neto total de otros gastos/ingresos,810000.0
Ingreso antes de impuestos,1736000.0
Impuesto a las ganancias,483000.0
Ingreso de operaciones continuas,1253000.0
Ingresos netos,1239000.0
Ingreso neto disponible para accionistas comunes,1239000.0
EPS básicas,2.34
BPA diluido,2.33
Promedio de acciones básicas,529000.0
Promedio de acciones diluidas,531000.0
