Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,24048000.0
Otras inversiones a corto plazo,86868000.0
Caja total,110916000.0
Cuentas pendientes netas,47964000.0
Inventario,0.0
Otros activos circulantes,12650000.0
Activos corrientes totales,171530000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",215894000.0
Depreciación acumulada,67458000.0
"Propiedad neta, planta y equipo",148436000.0
Acciones y otras inversiones,31008000.0
Valor llave,29198000.0
Activos intangibles,0.0
Otros activos a largo plazo,10051000.0
Total de activos no corrientes,230862000.0
Activos totales,402392000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,7493000.0
Impuestos que se deben pagar,2748000.0
Obligaciones devengadas,39980000.0
Ingresos diferidos,4137000.0
Otros pasivos circulantes,9525000.0
Pasivos circulantes totales,81814000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,11870000.0
Obligaciones de impuestos diferidas,485000.0
Ingresos diferidos,911000.0
Otras obligaciones a largo plazo,1616000.0
Total de obligaciones no corrientes,37199000.0
Pasivos totales,119013000.0
Patrimonio neto,0.0
Acción ordinaria,76534000.0
Ganancias retenidas,211247000.0
Otro ingreso integral acumulado,4402000.0
Total de patrimonio neto de los accionistas,283379000.0
Total de obligaciones y capital de los accionistas,402392000.0
