Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,73795000.0
Depreciación y amortización ,11946000.0
Impuestos sobre la renta diferidos,7763000.0
Compensación con base en acciones,22460000.0
Cambio en el capital circulante,3845000.0
Cuentas por cobrar,7833000.0
Cuentas a pagar,664000.0
Otro capital circulante,69495000.0
Otros artículos no monetarios,4330000.0
Efectivo neto proporcionado por actividades en curso,101746000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",32251000.0
Adquisiciones netas,495000.0
Compras de inversiones,80885000.0
Ventas/vencimientos de inversiones,87619000.0
Otras actividades de inversión,1051000.0
Efectivo neto usado para actividades de inversión,27063000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,11550000.0
Acción ordinaria readquirida,61504000.0
Otras actividades de financiación,8000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,72093000.0
Cambio neto en efectivo,2169000.0
Efectivo al inicio del periodo,21879000.0
Efectivo al final del periodo,24048000.0
Flujo de caja libre,0.0
Flujo de caja operativo,101746000.0
Inversiones en bienes de capital,32251000.0
Flujo de caja libre,69495000.0
