Descripcion,Valor
Ingresos totales,307394000.0
Costo de ganancias,133332000.0
Ganancia bruta,174062000.0
Gastos operativos,0.0
Investigación y desarrollo,45427000.0
Ventas: generales y administrativas,44342000.0
Gastos operativos totales,89769000.0
Ingresos o pérdidas operativos,84293000.0
Gastos de interés,308000.0
Valor neto total de otros gastos/ingresos,2133000.0
Ingreso antes de impuestos,85717000.0
Impuesto a las ganancias,11922000.0
Ingreso de operaciones continuas,73795000.0
Ingresos netos,73795000.0
Ingreso neto disponible para accionistas comunes,73795000.0
EPS básicas,5.84
BPA diluido,5.8
Promedio de acciones básicas,12630000.0
Promedio de acciones diluidas,12722000.0
