Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,6231866.0
Caja total,6231866.0
Cuentas pendientes netas,2069054.0
Inventario,45141.0
Otros activos circulantes,33176.0
Activos corrientes totales,9577754.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",5502043.0
Depreciación acumulada,1794191.0
"Propiedad neta, planta y equipo",3707852.0
Acciones y otras inversiones,447494.0
Valor llave,2691466.0
Activos intangibles,1538970.0
Otros activos a largo plazo,311222.0
Total de activos no corrientes,9496291.0
Activos totales,19074045.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1134386.0
Cuentas a pagar,2134357.0
Obligaciones devengadas,2476294.0
Ingresos diferidos,3398028.0
Otros pasivos circulantes,29595.0
Pasivos circulantes totales,9959903.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,5459026.0
Obligaciones de impuestos diferidas,324698.0
Ingresos diferidos,60555.0
Otras obligaciones a largo plazo,73745.0
Total de obligaciones no corrientes,7633276.0
Pasivos totales,17593179.0
Patrimonio neto,0.0
Acción ordinaria,2298.0
Ganancias retenidas,2407949.0
Otro ingreso integral acumulado,27450.0
Total de patrimonio neto de los accionistas,17148.0
Total de obligaciones y capital de los accionistas,19074045.0
