Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,563280.0
Depreciación y amortización ,516797.0
Impuestos sobre la renta diferidos,44018.0
Compensación con base en acciones,115959.0
Cambio en el capital circulante,159985.0
Cuentas por cobrar,550670.0
Cuentas a pagar,460496.0
Otro capital circulante,895537.0
Otros artículos no monetarios,129219.0
Efectivo neto proporcionado por actividades en curso,1370794.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",475257.0
Adquisiciones netas,72456.0
Otras actividades de inversión,149616.0
Efectivo neto usado para actividades de inversión,695805.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,730643.0
Acción ordinaria emitida,0.0
Otras actividades de financiación,436928.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,87281.0
Cambio neto en efectivo,626582.0
Efectivo al inicio del periodo,5612374.0
Efectivo al final del periodo,6238956.0
Flujo de caja libre,0.0
Flujo de caja operativo,1370794.0
Inversiones en bienes de capital,475257.0
Flujo de caja libre,895537.0
