Descripcion,Valor
Ingresos totales,22749073.0
Costo de ganancias,17292016.0
Ganancia bruta,5457057.0
Gastos operativos,0.0
Ventas: generales y administrativas,3556867.0
Gastos operativos totales,4404481.0
Ingresos o pérdidas operativos,1052576.0
Gastos de interés,350244.0
Valor neto total de otros gastos/ingresos,45606.0
Ingreso antes de impuestos,894544.0
Impuesto a las ganancias,160227.0
Ingreso de operaciones continuas,734317.0
Ingresos netos,563280.0
Ingreso neto disponible para accionistas comunes,315842.0
EPS básicas,0.0
BPA diluido,0.0
Promedio de acciones básicas,0.0
Promedio de acciones diluidas,0.0
