Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,41862000.0
Otras inversiones a corto plazo,23541000.0
Caja total,65403000.0
Cuentas pendientes netas,16169000.0
Otros activos circulantes,3793000.0
Activos corrientes totales,85365000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",143015000.0
Depreciación acumulada,33134000.0
"Propiedad neta, planta y equipo",109881000.0
Acciones y otras inversiones,6141000.0
Valor llave,20654000.0
Activos intangibles,788000.0
Otros activos a largo plazo,6794000.0
Total de activos no corrientes,144258000.0
Activos totales,229623000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,0.0
Cuentas a pagar,4849000.0
Obligaciones devengadas,8805000.0
Ingresos diferidos,0.0
Otros pasivos circulantes,5506000.0
Pasivos circulantes totales,31960000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,18385000.0
Obligaciones de impuestos diferidas,0.0
Otras obligaciones a largo plazo,1370000.0
Total de obligaciones no corrientes,44495000.0
Pasivos totales,76455000.0
Patrimonio neto,0.0
Acción ordinaria,0.0
Ganancias retenidas,82070000.0
Otro ingreso integral acumulado,2155000.0
Total de patrimonio neto de los accionistas,153168000.0
Total de obligaciones y capital de los accionistas,229623000.0
