Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,39098000.0
Depreciación y amortización ,11178000.0
Impuestos sobre la renta diferidos,131000.0
Compensación con base en acciones,14027000.0
Cambio en el capital circulante,3836000.0
Cuentas por cobrar,2399000.0
Cuentas a pagar,51000.0
Otro capital circulante,43847000.0
Otros artículos no monetarios,411000.0
Efectivo neto proporcionado por actividades en curso,71113000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",27266000.0
Adquisiciones netas,629000.0
Compras de inversiones,2982000.0
Ventas/vencimientos de inversiones,6184000.0
Otras actividades de inversión,23000.0
Efectivo neto usado para actividades de inversión,24495000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1058000.0
Acción ordinaria readquirida,19774000.0
Otras actividades de financiación,7123000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,19500000.0
Cambio neto en efectivo,27231000.0
Efectivo al inicio del periodo,15596000.0
Efectivo al final del periodo,42827000.0
Flujo de caja libre,0.0
Flujo de caja operativo,71113000.0
Inversiones en bienes de capital,27266000.0
Flujo de caja libre,43847000.0
