Descripcion,Valor
Ingresos totales,134902000.0
Costo de ganancias,25959000.0
Ganancia bruta,108943000.0
Gastos operativos,0.0
Investigación y desarrollo,38483000.0
Ventas: generales y administrativas,23709000.0
Gastos operativos totales,62192000.0
Ingresos o pérdidas operativos,46751000.0
Gastos de interés,446000.0
Valor neto total de otros gastos/ingresos,366000.0
Ingreso antes de impuestos,47428000.0
Impuesto a las ganancias,8330000.0
Ingreso de operaciones continuas,39098000.0
Ingresos netos,39098000.0
Ingreso neto disponible para accionistas comunes,39098000.0
EPS básicas,15.19
BPA diluido,14.87
Promedio de acciones básicas,2574000.0
Promedio de acciones diluidas,2629000.0
