Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,7116913.0
Otras inversiones a corto plazo,20973.0
Caja total,7137886.0
Cuentas pendientes netas,1287054.0
Otros activos circulantes,529257.0
Activos corrientes totales,9918133.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",2346487.0
Depreciación acumulada,855043.0
"Propiedad neta, planta y equipo",1491444.0
Activos intangibles,31658056.0
Otros activos a largo plazo,5664359.0
Total de activos no corrientes,38813859.0
Activos totales,48731992.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,399844.0
Cuentas a pagar,747412.0
Obligaciones devengadas,1803960.0
Ingresos diferidos,1442969.0
Otros pasivos circulantes,4466470.0
Pasivos circulantes totales,8860655.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,14143417.0
Otras obligaciones a largo plazo,5139607.0
Total de obligaciones no corrientes,19283024.0
Pasivos totales,28143679.0
Patrimonio neto,0.0
Acción ordinaria,5145172.0
Ganancias retenidas,22589286.0
Otro ingreso integral acumulado,223945.0
Total de patrimonio neto de los accionistas,20588313.0
Total de obligaciones y capital de los accionistas,48731992.0
