Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5407990.0
Depreciación y amortización ,14554384.0
Impuestos sobre la renta diferidos,459359.0
Compensación con base en acciones,339368.0
Cambio en el capital circulante,116148.0
Cuentas a pagar,93502.0
Otro capital circulante,6925749.0
Otros artículos no monetarios,12628230.0
Efectivo neto proporcionado por actividades en curso,7274301.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",348552.0
Adquisiciones netas,0.0
Compras de inversiones,504862.0
Ventas/vencimientos de inversiones,1395165.0
Otras actividades de inversión,0.0
Efectivo neto usado para actividades de inversión,541751.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria emitida,169990.0
Acción ordinaria readquirida,6045347.0
Otras actividades de financiación,75446.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,5950803.0
Cambio neto en efectivo,1947933.0
Efectivo al inicio del periodo,5170582.0
Efectivo al final del periodo,7118515.0
Flujo de caja libre,0.0
Flujo de caja operativo,7274301.0
Inversiones en bienes de capital,348552.0
Flujo de caja libre,6925749.0
