Descripcion,Valor
Ingresos totales,33723297.0
Costo de ganancias,19715368.0
Ganancia bruta,14007929.0
Gastos operativos,0.0
Investigación y desarrollo,2675758.0
Ventas: generales y administrativas,4378168.0
Gastos operativos totales,7053926.0
Ingresos o pérdidas operativos,6954003.0
Gastos de interés,748598.0
Ingreso antes de impuestos,6205405.0
Impuesto a las ganancias,797415.0
Ingreso de operaciones continuas,5407990.0
Ingresos netos,5407990.0
Ingreso neto disponible para accionistas comunes,5407990.0
EPS básicas,12.25
BPA diluido,12.03
Promedio de acciones básicas,441571.0
Promedio de acciones diluidas,449498.0
