Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1263666000.0
Otras inversiones a corto plazo,615699000.0
Caja total,1879365000.0
Cuentas pendientes netas,119932000.0
Inventario,258628000.0
Otros activos circulantes,56588000.0
Activos corrientes totales,2314513000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",99506000.0
"Propiedad neta, planta y equipo",99509000.0
Activos intangibles,18595000.0
Otros activos a largo plazo,32830000.0
Total de activos no corrientes,539768000.0
Activos totales,2854284000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,149217000.0
Otros pasivos circulantes,136736000.0
Pasivos circulantes totales,533480000.0
Obligaciones no corrientes,0.0
Otras obligaciones a largo plazo,31121000.0
Total de obligaciones no corrientes,54338000.0
Pasivos totales,587818000.0
Patrimonio neto,0.0
Acción ordinaria,10065000.0
Ganancias retenidas,2392704000.0
Total de patrimonio neto de los accionistas,2266234000.0
Total de obligaciones y capital de los accionistas,2854284000.0
