Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,432768000.0
Depreciación y amortización ,11040000.0
Cambio en el capital circulante,9364000.0
Inventario,45792000.0
Otro capital circulante,300653000.0
Otros artículos no monetarios,33439000.0
Efectivo neto proporcionado por actividades en curso,322843000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",22190000.0
Compras de inversiones,724691000.0
Ventas/vencimientos de inversiones,729907000.0
Otras actividades de inversión,128387000.0
Efectivo neto usado para actividades de inversión,111507000.0
Cambio neto en efectivo,171851000.0
Efectivo al inicio del periodo,1022718000.0
Efectivo al final del periodo,1194569000.0
Flujo de caja libre,0.0
Flujo de caja operativo,322843000.0
Inversiones en bienes de capital,22190000.0
Flujo de caja libre,300653000.0
