Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,21428902.0
Otras inversiones a corto plazo,105292091.0
Caja total,126720993.0
Cuentas pendientes netas,6422417.0
Inventario,695374.0
Otros activos circulantes,132268.0
Activos corrientes totales,142692585.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",15925638.0
Depreciación acumulada,7101319.0
"Propiedad neta, planta y equipo",8824319.0
Acciones y otras inversiones,22833187.0
Valor llave,1855394.0
Activos intangibles,5959746.0
Otros activos a largo plazo,447296.0
Total de activos no corrientes,43232393.0
Activos totales,185924978.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,19240163.0
Cuentas a pagar,881016.0
Impuestos que se deben pagar,1790393.0
Obligaciones devengadas,8019029.0
Ingresos diferidos,16986642.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,53842484.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,427997.0
Obligaciones de impuestos diferidas,2299303.0
Otras obligaciones a largo plazo,715284.0
Total de obligaciones no corrientes,3998413.0
Pasivos totales,57840897.0
Patrimonio neto,0.0
Acción ordinaria,2710.0
Ganancias retenidas,112214583.0
Otro ingreso integral acumulado,2158196.0
Total de patrimonio neto de los accionistas,124285776.0
Total de obligaciones y capital de los accionistas,185924978.0
