Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,29416552.0
Depreciación y amortización ,3055260.0
Impuestos sobre la renta diferidos,131437.0
Compensación con base en acciones,3242810.0
Cambio en el capital circulante,375883.0
Cuentas por cobrar,1470374.0
Inventario,296764.0
Cuentas a pagar,559419.0
Otro capital circulante,31055398.0
Otros artículos no monetarios,0.0
Efectivo neto proporcionado por actividades en curso,35331275.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",4275877.0
Adquisiciones netas,444557.0
Compras de inversiones,128858414.0
Ventas/vencimientos de inversiones,116796479.0
Otras actividades de inversión,423928.0
Efectivo neto usado para actividades de inversión,17043431.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,8219472.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,5234294.0
Dividendos pagados,8013903.0
Otras actividades de financiación,86159.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,21467054.0
Cambio neto en efectivo,3381667.0
Efectivo al inicio del periodo,27588325.0
Efectivo al final del periodo,24206658.0
Flujo de caja libre,0.0
Flujo de caja operativo,35331275.0
Inversiones en bienes de capital,4275877.0
Flujo de caja libre,31055398.0
