Descripcion,Valor
Ingresos totales,103468159.0
Costo de ganancias,40404765.0
Ganancia bruta,63063394.0
Gastos operativos,0.0
Investigación y desarrollo,16484910.0
Ventas: generales y administrativas,18869340.0
Gastos operativos totales,35354250.0
Ingresos o pérdidas operativos,27709144.0
Valor neto total de otros gastos/ingresos,2227365.0
Ingreso antes de impuestos,34056927.0
Impuesto a las ganancias,4699704.0
Ingreso de operaciones continuas,29357223.0
Ingresos netos,29416552.0
Ingreso neto disponible para accionistas comunes,29416552.0
EPS básicas,0.0
BPA diluido,0.0
Promedio de acciones básicas,0.0
Promedio de acciones diluidas,0.0
