Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2460000.0
Caja total,2460000.0
Cuentas pendientes netas,7115000.0
Inventario,1414000.0
Otros activos circulantes,1677000.0
Activos corrientes totales,12703000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6353000.0
Depreciación acumulada,3504000.0
"Propiedad neta, planta y equipo",2849000.0
Valor llave,16516000.0
Activos intangibles,2589000.0
Otros activos a largo plazo,17644000.0
Total de activos no corrientes,40840000.0
Activos totales,53543000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1000.0
Cuentas a pagar,1100000.0
Obligaciones devengadas,3946000.0
Ingresos diferidos,746000.0
Otros pasivos circulantes,1161000.0
Pasivos circulantes totales,9656000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,14601000.0
Obligaciones de impuestos diferidas,503000.0
Otras obligaciones a largo plazo,1738000.0
Total de obligaciones no corrientes,20837000.0
Pasivos totales,30493000.0
Patrimonio neto,0.0
Acción ordinaria,1000.0
Ganancias retenidas,13829000.0
Otro ingreso integral acumulado,1556000.0
Total de patrimonio neto de los accionistas,22526000.0
Total de obligaciones y capital de los accionistas,53543000.0
