Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,608000.0
Depreciación y amortización ,418000.0
Impuestos sobre la renta diferidos,650000.0
Compensación con base en acciones,177000.0
Cambio en el capital circulante,15642000.0
Inventario,15518000.0
Cuentas a pagar,659000.0
Otro capital circulante,147000.0
Otros artículos no monetarios,17084000.0
Efectivo neto proporcionado por actividades en curso,475000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",328000.0
Adquisiciones netas,0.0
Otras actividades de inversión,3000.0
Efectivo neto usado para actividades de inversión,942000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1277000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,0.0
Dividendos pagados,447000.0
Otras actividades de financiación,162000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1841000.0
Cambio neto en efectivo,425000.0
Efectivo al inicio del periodo,2885000.0
Efectivo al final del periodo,2460000.0
Flujo de caja libre,0.0
Flujo de caja operativo,475000.0
Inversiones en bienes de capital,328000.0
Flujo de caja libre,147000.0
