Descripcion,Valor
Ingresos totales,29652000.0
Costo de ganancias,22388000.0
Ganancia bruta,7264000.0
Gastos operativos,0.0
Ventas: generales y administrativas,7398000.0
Gastos operativos totales,7816000.0
Ingresos o pérdidas operativos,552000.0
Gastos de interés,920000.0
Valor neto total de otros gastos/ingresos,82000.0
Ingreso antes de impuestos,1253000.0
Impuesto a las ganancias,361000.0
Ingreso de operaciones continuas,1252000.0
Ingresos netos,608000.0
Ingreso neto disponible para accionistas comunes,608000.0
EPS básicas,1.02
BPA diluido,1.02
Promedio de acciones básicas,652000.0
Promedio de acciones diluidas,652000.0
