Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,5135000.0
Caja total,5135000.0
Cuentas pendientes netas,4692000.0
Inventario,1678000.0
Otros activos circulantes,2352000.0
Activos corrientes totales,19015000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",129318000.0
Depreciación acumulada,58481000.0
"Propiedad neta, planta y equipo",70837000.0
Valor llave,12234000.0
Activos intangibles,99325000.0
Otros activos a largo plazo,4229000.0
Total de activos no corrientes,188667000.0
Activos totales,207682000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,3619000.0
Cuentas a pagar,5573000.0
Obligaciones devengadas,3096000.0
Ingresos diferidos,825000.0
Otros pasivos circulantes,1296000.0
Pasivos circulantes totales,20928000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,71399000.0
Obligaciones de impuestos diferidas,13458000.0
Otras obligaciones a largo plazo,3929000.0
Total de obligaciones no corrientes,122039000.0
Pasivos totales,142967000.0
Patrimonio neto,0.0
Acción ordinaria,0.0
Ganancias retenidas,7347000.0
Otro ingreso integral acumulado,964000.0
Total de patrimonio neto de los accionistas,64715000.0
Total de obligaciones y capital de los accionistas,207682000.0
