Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,8317000.0
Depreciación y amortización ,12818000.0
Impuestos sobre la renta diferidos,2600000.0
Compensación con base en acciones,667000.0
Cambio en el capital circulante,7058000.0
Cuentas por cobrar,5038000.0
Inventario,197000.0
Otro capital circulante,7748000.0
Otros artículos no monetarios,143000.0
Efectivo neto proporcionado por actividades en curso,18559000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",10811000.0
Adquisiciones netas,0.0
Ventas/vencimientos de inversiones,0.0
Otras actividades de inversión,4970000.0
Efectivo neto usado para actividades de inversión,5829000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,6278000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,13074000.0
Dividendos pagados,747000.0
Otras actividades de financiación,444000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,12097000.0
Cambio neto en efectivo,633000.0
Efectivo al inicio del periodo,4674000.0
Efectivo al final del periodo,5307000.0
Flujo de caja libre,0.0
Flujo de caja operativo,18559000.0
Inversiones en bienes de capital,10811000.0
Flujo de caja libre,7748000.0
