Descripcion,Valor
Ingresos totales,78558000.0
Costo de ganancias,30188000.0
Ganancia bruta,48370000.0
Gastos operativos,0.0
Ventas: generales y administrativas,21311000.0
Gastos operativos totales,34129000.0
Ingresos o pérdidas operativos,14241000.0
Gastos de interés,3335000.0
Valor neto total de otros gastos/ingresos,93000.0
Ingreso antes de impuestos,10999000.0
Impuesto a las ganancias,2682000.0
Ingreso de operaciones continuas,8317000.0
Ingresos netos,8317000.0
Ingreso neto disponible para accionistas comunes,8317000.0
EPS básicas,7.02
BPA diluido,6.93
Promedio de acciones básicas,1185122.0
Promedio de acciones diluidas,1200286.0
