Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,14400000.0
Depreciación y amortización ,18777000.0
Impuestos sobre la renta diferidos,3037000.0
Cambio en el capital circulante,2456000.0
Cuentas por cobrar,82000.0
Otro capital circulante,20461000.0
Otros artículos no monetarios,688000.0
Efectivo neto proporcionado por actividades en curso,38314000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",17853000.0
Adquisiciones netas,2942000.0
Otras actividades de inversión,84000.0
Efectivo neto usado para actividades de inversión,19660000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,16503000.0
Acción ordinaria emitida,3000.0
Acción ordinaria readquirida,194000.0
Dividendos pagados,8136000.0
Otras actividades de financiación,6194000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,15614000.0
Cambio neto en efectivo,3040000.0
Efectivo al inicio del periodo,3793000.0
Efectivo al final del periodo,6833000.0
Flujo de caja libre,0.0
Flujo de caja operativo,38314000.0
Inversiones en bienes de capital,17853000.0
Flujo de caja libre,20461000.0
