Descripcion,Valor
Ingresos totales,122428000.0
Costo de ganancias,50123000.0
Ganancia bruta,72305000.0
Gastos operativos,0.0
Ventas: generales y administrativas,28874000.0
Gastos operativos totales,47651000.0
Ingresos o pérdidas operativos,24654000.0
Gastos de interés,6704000.0
Valor neto total de otros gastos/ingresos,1898000.0
Ingreso antes de impuestos,19848000.0
Impuesto a las ganancias,4225000.0
Ingreso de operaciones continuas,15623000.0
Ingresos netos,14400000.0
Ingreso neto disponible para accionistas comunes,14192000.0
EPS básicas,1.97
BPA diluido,1.97
Promedio de acciones básicas,7181000.0
Promedio de acciones diluidas,7258000.0
