Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,19000.0
Otras inversiones a corto plazo,91000.0
Caja total,110000.0
Cuentas pendientes netas,1986000.0
Inventario,210000.0
Otros activos circulantes,0.0
Activos corrientes totales,4056000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",778000.0
Depreciación acumulada,285000.0
"Propiedad neta, planta y equipo",493000.0
Valor llave,1624000.0
Activos intangibles,4774000.0
Otros activos a largo plazo,7000.0
Total de activos no corrientes,9035000.0
Activos totales,13091000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,278000.0
Cuentas a pagar,4062000.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,6267000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,1826000.0
Obligaciones de impuestos diferidas,676000.0
Otras obligaciones a largo plazo,715000.0
Total de obligaciones no corrientes,3841000.0
Pasivos totales,10108000.0
Patrimonio neto,0.0
Acción ordinaria,18217000.0
Ganancias retenidas,30244000.0
Total de patrimonio neto de los accionistas,2962000.0
Total de obligaciones y capital de los accionistas,13091000.0
