Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1259000.0
Depreciación y amortización ,382000.0
Compensación con base en acciones,429000.0
Cambio en el capital circulante,164000.0
Inventario,52000.0
Otro capital circulante,1586000.0
Otros artículos no monetarios,0.0
Efectivo neto proporcionado por actividades en curso,1885000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",299000.0
Adquisiciones netas,178000.0
Compras de inversiones,154000.0
Ventas/vencimientos de inversiones,1000.0
Otras actividades de inversión,0.0
Efectivo neto usado para actividades de inversión,622000.0
Cambio neto en efectivo,51000.0
Efectivo al inicio del periodo,438000.0
Efectivo al final del periodo,387000.0
Flujo de caja libre,0.0
Flujo de caja operativo,1885000.0
Inversiones en bienes de capital,299000.0
Flujo de caja libre,1586000.0
