Descripcion,Valor
Ingresos totales,11108000.0
Costo de ganancias,6208000.0
Ganancia bruta,4900000.0
Gastos operativos,0.0
Ventas: generales y administrativas,1059000.0
Gastos operativos totales,3489000.0
Ingresos o pérdidas operativos,1411000.0
Gastos de interés,113000.0
Ingreso antes de impuestos,1721000.0
Impuesto a las ganancias,458000.0
Ingreso de operaciones continuas,1263000.0
Ingresos netos,1259000.0
Ingreso neto disponible para accionistas comunes,1259000.0
EPS básicas,0.34
BPA diluido,0.34
Promedio de acciones básicas,3638000.0
Promedio de acciones diluidas,3684000.0
