Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,3780000.0
Caja total,3780000.0
Cuentas pendientes netas,6047000.0
Otros activos circulantes,2283000.0
Activos corrientes totales,14218000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",9042000.0
Depreciación acumulada,3085000.0
"Propiedad neta, planta y equipo",5957000.0
Acciones y otras inversiones,0.0
Valor llave,34969000.0
Activos intangibles,59514000.0
Otros activos a largo plazo,8099000.0
Total de activos no corrientes,108539000.0
Activos totales,122757000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1780000.0
Cuentas a pagar,1260000.0
Obligaciones devengadas,8250000.0
Ingresos diferidos,1924000.0
Pasivos circulantes totales,15332000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,41889000.0
Obligaciones de impuestos diferidas,8736000.0
Otras obligaciones a largo plazo,10328000.0
Total de obligaciones no corrientes,60953000.0
Pasivos totales,76285000.0
Patrimonio neto,0.0
Acción ordinaria,27000.0
Ganancias retenidas,928000.0
Otro ingreso integral acumulado,741000.0
Total de patrimonio neto de los accionistas,45226000.0
Total de obligaciones y capital de los accionistas,122757000.0
