Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3126000.0
Depreciación y amortización ,24009000.0
Impuestos sobre la renta diferidos,2344000.0
Compensación con base en acciones,500000.0
Cambio en el capital circulante,11989000.0
Cuentas por cobrar,0.0
Cuentas a pagar,820000.0
Otro capital circulante,6161000.0
Otros artículos no monetarios,374000.0
Efectivo neto proporcionado por actividades en curso,7477000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1316000.0
Adquisiciones netas,162000.0
Compras de inversiones,0.0
Ventas/vencimientos de inversiones,121000.0
Otras actividades de inversión,98000.0
Efectivo neto usado para actividades de inversión,1259000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,12074000.0
Acción ordinaria readquirida,0.0
Otras actividades de financiación,466000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,5837000.0
Cambio neto en efectivo,389000.0
Efectivo al inicio del periodo,3930000.0
Efectivo al final del periodo,4319000.0
Flujo de caja libre,0.0
Flujo de caja operativo,7477000.0
Inversiones en bienes de capital,1316000.0
Flujo de caja libre,6161000.0
