Descripcion,Valor
Ingresos totales,41321000.0
Costo de ganancias,24526000.0
Ganancia bruta,16795000.0
Gastos operativos,0.0
Ventas: generales y administrativas,9696000.0
Gastos operativos totales,17681000.0
Ingresos o pérdidas operativos,886000.0
Gastos de interés,2221000.0
Valor neto total de otros gastos/ingresos,935000.0
Ingreso antes de impuestos,3863000.0
Impuesto a las ganancias,784000.0
Ingreso de operaciones continuas,3079000.0
Ingresos netos,3126000.0
Ingreso neto disponible para accionistas comunes,3126000.0
EPS básicas,1.28
BPA diluido,1.28
Promedio de acciones básicas,2436000.0
Promedio de acciones diluidas,2436000.0
