Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,12814000.0
Otras inversiones a corto plazo,2000.0
Caja total,12816000.0
Cuentas pendientes netas,11155000.0
Inventario,4099000.0
Otros activos circulantes,4932000.0
Activos corrientes totales,33002000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",11635000.0
Depreciación acumulada,6646000.0
"Propiedad neta, planta y equipo",4989000.0
Acciones y otras inversiones,304000.0
Valor llave,32293000.0
Activos intangibles,55610000.0
Otros activos a largo plazo,8513000.0
Total de activos no corrientes,101709000.0
Activos totales,134711000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,7191000.0
Cuentas a pagar,3688000.0
Obligaciones devengadas,24179000.0
Pasivos circulantes totales,37841000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,52194000.0
Obligaciones de impuestos diferidas,1952000.0
Otras obligaciones a largo plazo,28607000.0
Total de obligaciones no corrientes,86473000.0
Pasivos totales,124314000.0
Patrimonio neto,0.0
Acción ordinaria,18000.0
Ganancias retenidas,1000000.0
Otro ingreso integral acumulado,2305000.0
Total de patrimonio neto de los accionistas,10360000.0
Total de obligaciones y capital de los accionistas,134711000.0
