Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,4863000.0
Depreciación y amortización ,8698000.0
Impuestos sobre la renta diferidos,2889000.0
Compensación con base en acciones,747000.0
Cambio en el capital circulante,2813000.0
Cuentas por cobrar,66000.0
Inventario,417000.0
Cuentas a pagar,3840000.0
Otro capital circulante,22062000.0
Otros artículos no monetarios,4811000.0
Efectivo neto proporcionado por actividades en curso,22839000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",777000.0
Adquisiciones netas,1223000.0
Compras de inversiones,77000.0
Ventas/vencimientos de inversiones,55000.0
Otras actividades de inversión,13000.0
Efectivo neto usado para actividades de inversión,2009000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,4149000.0
Acción ordinaria readquirida,1972000.0
Dividendos pagados,10539000.0
Otras actividades de financiación,742000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,17222000.0
Cambio neto en efectivo,3613000.0
Efectivo al inicio del periodo,9201000.0
Efectivo al final del periodo,12814000.0
Flujo de caja libre,0.0
Flujo de caja operativo,22839000.0
Inversiones en bienes de capital,777000.0
Flujo de caja libre,22062000.0
