Descripcion,Valor
Ingresos totales,54318000.0
Costo de ganancias,20415000.0
Ganancia bruta,33903000.0
Gastos operativos,0.0
Investigación y desarrollo,7675000.0
Ventas: generales y administrativas,12872000.0
Gastos operativos totales,20368000.0
Ingresos o pérdidas operativos,13535000.0
Gastos de interés,2224000.0
Valor neto total de otros gastos/ingresos,5601000.0
Ingreso antes de impuestos,6250000.0
Impuesto a las ganancias,1377000.0
Ingreso de operaciones continuas,4873000.0
Ingresos netos,4863000.0
Ingreso neto disponible para accionistas comunes,4820000.0
EPS básicas,2.75
BPA diluido,2.72
Promedio de acciones básicas,1765941.0
Promedio de acciones diluidas,1773000.0
