Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,6896000.0
Otras inversiones a corto plazo,383000.0
Caja total,7279000.0
Cuentas pendientes netas,6565000.0
Inventario,6570000.0
Activos corrientes totales,22670000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",21933000.0
Depreciación acumulada,11779000.0
"Propiedad neta, planta y equipo",10154000.0
Acciones y otras inversiones,799000.0
Valor llave,23679000.0
Activos intangibles,8815000.0
Otros activos a largo plazo,7097000.0
Total de activos no corrientes,50544000.0
Activos totales,73214000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1080000.0
Cuentas a pagar,4295000.0
Impuestos que se deben pagar,492000.0
Obligaciones devengadas,6369000.0
Pasivos circulantes totales,13841000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,13599000.0
Obligaciones de impuestos diferidas,568000.0
Otras obligaciones a largo plazo,3466000.0
Total de obligaciones no corrientes,20546000.0
Pasivos totales,34387000.0
Patrimonio neto,0.0
Acción ordinaria,24869000.0
Ganancias retenidas,37554000.0
Otro ingreso integral acumulado,7839000.0
Total de patrimonio neto de los accionistas,38603000.0
Total de obligaciones y capital de los accionistas,73214000.0
