Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5723000.0
Depreciación y amortización ,3243000.0
Compensación con base en acciones,644000.0
Cambio en el capital circulante,2475000.0
Cuentas por cobrar,356000.0
Inventario,232000.0
Cuentas a pagar,760000.0
Otro capital circulante,5059000.0
Efectivo neto proporcionado por actividades en curso,7261000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",2202000.0
Adquisiciones netas,877000.0
Compras de inversiones,159000.0
Ventas/vencimientos de inversiones,43000.0
Otras actividades de inversión,22000.0
Efectivo neto usado para actividades de inversión,3133000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2498000.0
Acción ordinaria readquirida,1227000.0
Dividendos pagados,3556000.0
Otras actividades de financiación,0.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,7091000.0
Cambio neto en efectivo,2986000.0
Efectivo al inicio del periodo,9882000.0
Efectivo al final del periodo,6896000.0
Flujo de caja libre,0.0
Flujo de caja operativo,7261000.0
Inversiones en bienes de capital,2202000.0
Flujo de caja libre,5059000.0
