Descripcion,Valor
Ingresos totales,40109000.0
Costo de ganancias,17975000.0
Ganancia bruta,22134000.0
Gastos operativos,0.0
Investigación y desarrollo,2741000.0
Ventas: generales y administrativas,10949000.0
Gastos operativos totales,15656000.0
Ingresos o pérdidas operativos,6478000.0
Gastos de interés,637000.0
Valor neto total de otros gastos/ingresos,438000.0
Ingreso antes de impuestos,6664000.0
Impuesto a las ganancias,941000.0
Ingreso de operaciones continuas,5723000.0
Ingresos netos,5723000.0
Ingreso neto disponible para accionistas comunes,5723000.0
EPS básicas,3.3
BPA diluido,3.26
Promedio de acciones básicas,1734076.0
Promedio de acciones diluidas,1749000.0
