Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,10944000.0
Otras inversiones a corto plazo,0.0
Caja total,10944000.0
Cuentas pendientes netas,7268000.0
Inventario,9518000.0
Otros activos circulantes,281000.0
Activos corrientes totales,30332000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",15749000.0
Depreciación acumulada,9808000.0
"Propiedad neta, planta y equipo",5941000.0
Valor llave,18629000.0
Activos intangibles,32641000.0
Otros activos a largo plazo,9611000.0
Total de activos no corrientes,66822000.0
Activos totales,97154000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1443000.0
Cuentas a pagar,1590000.0
Impuestos que se deben pagar,1664000.0
Obligaciones devengadas,11109000.0
Pasivos circulantes totales,18392000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,63170000.0
Obligaciones de impuestos diferidas,2354000.0
Otras obligaciones a largo plazo,2326000.0
Total de obligaciones no corrientes,72530000.0
Pasivos totales,90922000.0
Patrimonio neto,0.0
Acción ordinaria,33070000.0
Ganancias retenidas,26549000.0
Otro ingreso integral acumulado,289000.0
Total de patrimonio neto de los accionistas,6232000.0
Total de obligaciones y capital de los accionistas,97154000.0
