Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,6717000.0
Depreciación y amortización ,4071000.0
Impuestos sobre la renta diferidos,1273000.0
Compensación con base en acciones,431000.0
Cambio en el capital circulante,484000.0
Cuentas por cobrar,1015000.0
Inventario,491000.0
Cuentas a pagar,402000.0
Otro capital circulante,7359000.0
Otros artículos no monetarios,563000.0
Efectivo neto proporcionado por actividades en curso,8471000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1112000.0
Adquisiciones netas,26989000.0
Compras de inversiones,1000.0
Ventas/vencimientos de inversiones,1673000.0
Otras actividades de inversión,225000.0
Efectivo neto usado para actividades de inversión,26204000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1454000.0
Acción ordinaria readquirida,0.0
Dividendos pagados,4556000.0
Otras actividades de financiación,719000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,21048000.0
Cambio neto en efectivo,3315000.0
Efectivo al inicio del periodo,7629000.0
Efectivo al final del periodo,10944000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8471000.0
Inversiones en bienes de capital,1112000.0
Flujo de caja libre,7359000.0
