Descripcion,Valor
Ingresos totales,28190000.0
Costo de ganancias,8451000.0
Ganancia bruta,19739000.0
Gastos operativos,0.0
Investigación y desarrollo,4784000.0
Ventas: generales y administrativas,6179000.0
Gastos operativos totales,11842000.0
Ingresos o pérdidas operativos,7897000.0
Gastos de interés,2875000.0
Valor neto total de otros gastos/ingresos,2833000.0
Ingreso antes de impuestos,7855000.0
Impuesto a las ganancias,1138000.0
Ingreso de operaciones continuas,6717000.0
Ingresos netos,6717000.0
Ingreso neto disponible para accionistas comunes,6717000.0
EPS básicas,12.56
BPA diluido,12.49
Promedio de acciones básicas,535000.0
Promedio de acciones diluidas,538000.0
