Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1590000.0
Otras inversiones a corto plazo,0.0
Caja total,1590000.0
Cuentas pendientes netas,1291000.0
Inventario,1031000.0
Otros activos circulantes,274000.0
Activos corrientes totales,4186000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",2493000.0
Depreciación acumulada,1223000.0
"Propiedad neta, planta y equipo",1270000.0
Acciones y otras inversiones,164000.0
Valor llave,3960000.0
Activos intangibles,475000.0
Otros activos a largo plazo,708000.0
Total de activos no corrientes,6577000.0
Activos totales,10763000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,0.0
Cuentas a pagar,418000.0
Obligaciones devengadas,309000.0
Ingresos diferidos,505000.0
Pasivos circulantes totales,1603000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,2735000.0
Otras obligaciones a largo plazo,477000.0
Total de obligaciones no corrientes,3315000.0
Pasivos totales,4918000.0
Patrimonio neto,0.0
Acción ordinaria,3000.0
Ganancias retenidas,782000.0
Otro ingreso integral acumulado,327000.0
Total de patrimonio neto de los accionistas,5845000.0
Total de obligaciones y capital de los accionistas,10763000.0
