Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1240000.0
Depreciación y amortización ,271000.0
Impuestos sobre la renta diferidos,56000.0
Compensación con base en acciones,111000.0
Cambio en el capital circulante,116000.0
Cuentas por cobrar,132000.0
Inventario,33000.0
Cuentas a pagar,171000.0
Otro capital circulante,1474000.0
Otros artículos no monetarios,47000.0
Efectivo neto proporcionado por actividades en curso,1772000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",298000.0
Adquisiciones netas,51000.0
Compras de inversiones,8000.0
Ventas/vencimientos de inversiones,5000.0
Otras actividades de inversión,8000.0
Efectivo neto usado para actividades de inversión,310000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria readquirida,575000.0
Dividendos pagados,265000.0
Otras actividades de financiación,122000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,930000.0
Cambio neto en efectivo,537000.0
Efectivo al inicio del periodo,1056000.0
Efectivo al final del periodo,1593000.0
Flujo de caja libre,0.0
Flujo de caja operativo,1772000.0
Inversiones en bienes de capital,298000.0
Flujo de caja libre,1474000.0
