Descripcion,Valor
Ingresos totales,6833000.0
Costo de ganancias,3368000.0
Ganancia bruta,3465000.0
Gastos operativos,0.0
Investigación y desarrollo,481000.0
Ventas: generales y administrativas,1634000.0
Gastos operativos totales,2115000.0
Ingresos o pérdidas operativos,1350000.0
Gastos de interés,95000.0
Valor neto total de otros gastos/ingresos,33000.0
Ingreso antes de impuestos,1339000.0
Impuesto a las ganancias,99000.0
Ingreso de operaciones continuas,1240000.0
Ingresos netos,1240000.0
Ingreso neto disponible para accionistas comunes,1240000.0
EPS básicas,4.22
BPA diluido,4.19
Promedio de acciones básicas,294000.0
Promedio de acciones diluidas,296000.0
