Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1416000.0
Otras inversiones a corto plazo,8000.0
Caja total,1424000.0
Cuentas pendientes netas,2534000.0
Inventario,3273000.0
Otros activos circulantes,1380000.0
Activos corrientes totales,8676000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",13578000.0
Depreciación acumulada,7021000.0
"Propiedad neta, planta y equipo",6557000.0
Valor llave,24522000.0
Activos intangibles,10947000.0
Otros activos a largo plazo,2078000.0
Total de activos no corrientes,44104000.0
Activos totales,52780000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1141000.0
Cuentas a pagar,1641000.0
Impuestos que se deben pagar,139000.0
Obligaciones devengadas,3719000.0
Otros pasivos circulantes,1000.0
Pasivos circulantes totales,6641000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,14738000.0
Obligaciones de impuestos diferidas,0.0
Otras obligaciones a largo plazo,4581000.0
Total de obligaciones no corrientes,20342000.0
Pasivos totales,26983000.0
Patrimonio neto,0.0
Acción ordinaria,371000.0
Ganancias retenidas,15535000.0
Otro ingreso integral acumulado,1548000.0
Total de patrimonio neto de los accionistas,25797000.0
Total de obligaciones y capital de los accionistas,52780000.0
