Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1484000.0
Depreciación y amortización ,2288000.0
Impuestos sobre la renta diferidos,622000.0
Compensación con base en acciones,259000.0
Cambio en el capital circulante,630000.0
Cuentas por cobrar,290000.0
Inventario,15000.0
Cuentas a pagar,517000.0
Otro capital circulante,2115000.0
Otros artículos no monetarios,302000.0
Efectivo neto proporcionado por actividades en curso,2989000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",874000.0
Adquisiciones netas,0.0
Otras actividades de inversión,382000.0
Efectivo neto usado para actividades de inversión,716000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2155000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,0.0
Dividendos pagados,1114000.0
Otras actividades de financiación,120000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1957000.0
Cambio neto en efectivo,322000.0
Efectivo al inicio del periodo,1159000.0
Efectivo al final del periodo,1481000.0
Flujo de caja libre,0.0
Flujo de caja operativo,2989000.0
Inversiones en bienes de capital,874000.0
Flujo de caja libre,2115000.0
