Descripcion,Valor
Ingresos totales,19372000.0
Costo de ganancias,11202000.0
Ganancia bruta,8170000.0
Gastos operativos,0.0
Investigación y desarrollo,1237000.0
Ventas: generales y administrativas,4719000.0
Gastos operativos totales,5746000.0
Ingresos o pérdidas operativos,2424000.0
Gastos de interés,452000.0
Valor neto total de otros gastos/ingresos,359000.0
Ingreso antes de impuestos,1662000.0
Impuesto a las ganancias,132000.0
Ingreso de operaciones continuas,1530000.0
Ingresos netos,1484000.0
Ingreso neto disponible para accionistas comunes,1424000.0
EPS básicas,4.97
BPA diluido,4.94
Promedio de acciones básicas,286282.0
Promedio de acciones diluidas,288392.0
