Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1049900.0
Otras inversiones a corto plazo,0.0
Caja total,1049900.0
Cuentas pendientes netas,2100000.0
Inventario,2527400.0
Otros activos circulantes,1182000.0
Activos corrientes totales,6859300.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6132200.0
Depreciación acumulada,2402500.0
"Propiedad neta, planta y equipo",3729700.0
Acciones y otras inversiones,0.0
Valor llave,6219200.0
Activos intangibles,8363000.0
Otros activos a largo plazo,745000.0
Total de activos no corrientes,19985500.0
Activos totales,26844800.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,150000.0
Cuentas a pagar,403300.0
Obligaciones devengadas,1450100.0
Otros pasivos circulantes,838400.0
Pasivos circulantes totales,3434300.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,6788200.0
Obligaciones de impuestos diferidas,641800.0
Otras obligaciones a largo plazo,781100.0
Total de obligaciones no corrientes,8611100.0
Pasivos totales,12045400.0
Patrimonio neto,0.0
Acción ordinaria,100.0
Ganancias retenidas,17627600.0
Otro ingreso integral acumulado,153700.0
Total de patrimonio neto de los accionistas,14799400.0
Total de obligaciones y capital de los accionistas,26844800.0
