Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1161100.0
Depreciación y amortización ,494800.0
Impuestos sobre la renta diferidos,305800.0
Compensación con base en acciones,264200.0
Cambio en el capital circulante,648700.0
Cuentas por cobrar,61300.0
Inventario,130900.0
Otro capital circulante,1235800.0
Otros artículos no monetarios,304100.0
Efectivo neto proporcionado por actividades en curso,1547200.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",311400.0
Adquisiciones netas,6926100.0
Compras de inversiones,5140700.0
Ventas/vencimientos de inversiones,7500400.0
Otras actividades de inversión,11300.0
Efectivo neto usado para actividades de inversión,4101000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,809900.0
Acción ordinaria readquirida,0.0
Otras actividades de financiación,6300.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,149300.0
Cambio neto en efectivo,2404500.0
Efectivo al inicio del periodo,3419300.0
Efectivo al final del periodo,1049900.0
Flujo de caja libre,0.0
Flujo de caja operativo,1547200.0
Inversiones en bienes de capital,311400.0
Flujo de caja libre,1235800.0
