Descripcion,Valor
Ingresos totales,9835600.0
Costo de ganancias,2533400.0
Ganancia bruta,7302200.0
Gastos operativos,0.0
Investigación y desarrollo,2462000.0
Ventas: generales y administrativas,2549700.0
Gastos operativos totales,5471100.0
Ingresos o pérdidas operativos,1831100.0
Gastos de interés,246900.0
Valor neto total de otros gastos/ingresos,563900.0
Ingreso antes de impuestos,1296800.0
Impuesto a las ganancias,135300.0
Ingreso de operaciones continuas,1161500.0
Ingresos netos,1161100.0
Ingreso neto disponible para accionistas comunes,1161100.0
EPS básicas,8.02
BPA diluido,7.97
Promedio de acciones básicas,144700.0
Promedio de acciones diluidas,145600.0
