Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,11464000.0
Otras inversiones a corto plazo,816000.0
Caja total,12280000.0
Cuentas pendientes netas,8882000.0
Inventario,2662000.0
Otros activos circulantes,1509000.0
Activos corrientes totales,31770000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",12839000.0
Depreciación acumulada,4803000.0
"Propiedad neta, planta y equipo",8036000.0
Acciones y otras inversiones,2063000.0
Valor llave,21169000.0
Activos intangibles,27485000.0
Otros activos a largo plazo,1148000.0
Total de activos no corrientes,63389000.0
Activos totales,95159000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,3119000.0
Cuentas a pagar,3259000.0
Impuestos que se deben pagar,1371000.0
Obligaciones devengadas,349000.0
Otros pasivos circulantes,11498000.0
Pasivos circulantes totales,22262000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,36653000.0
Obligaciones de impuestos diferidas,338000.0
Ingresos diferidos,300000.0
Otras obligaciones a largo plazo,396000.0
Total de obligaciones no corrientes,43412000.0
Pasivos totales,65674000.0
Patrimonio neto,0.0
Acción ordinaria,292000.0
Ganancias retenidas,28766000.0
Otro ingreso integral acumulado,1546000.0
Total de patrimonio neto de los accionistas,29430000.0
Total de obligaciones y capital de los accionistas,95159000.0
